region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
LCN,Aruba,35563.3125,41.734392369375,4.756172671654971,4.276837596482353,18.418010410914285,15.277361084602273,11.687394075668571,2.6713207547169815,4.77203125,11.419939176078948,,Yes,Yes,Yes,Yes,103187,90015688.23649433,57779234.47121622,242295.0434065934,6934516.75975678,315096014.47525,3399482.6000285717,88132.0167,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,54.79139928529412,13.236199999999998,11.0,44.35626678571428,89.0,38.025,
SAS,Afghanistan,2057.062256,41.734392369375,4.756172671654971,4.276837596482353,18.418010410914285,15.277361084602273,11.687394075668571,2.6713207547169815,4.77203125,11.419939176078948,,Yes,Yes,Yes,,34656032,6802511.0,57779234.47121622,20000.0,6934516.75975678,315096014.47525,9855.0,5628525.37,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,54.79139928529412,13.236199999999998,17.371565905725806,44.35626678571428,32.822129772340425,38.025,Other
SSF,Angola,8036.69043,51.8,6.7,4.4,11.5,11.9,13.5,2.6713207547169815,4.77203125,11.419939176078948,,,Yes,Yes,,25096150,90015688.23649433,57779234.47121622,92000.0,6934516.75975678,315096014.47525,5495.95,4213643.585,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,23.1,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,54.79139928529412,13.236199999999998,17.371565905725806,44.35626678571428,32.822129772340425,38.025,
ECS,Albania,13724.05859,51.4,4.5,4.8,15.21,9.9,9.6,2.6713207547169815,4.6,11.419939176078948,No,Yes,Yes,Yes,No,2854191,90015688.23649433,203009.0,20000.0,5714.82,270269.0,114.3,1087446.75,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,60.0,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,54.79139928529412,13.236199999999998,17.371565905725806,44.35626678571428,32.822129772340425,38.025,Some disposal sites
ECS,Andorra,43711.80078,31.2,8.2,2.6,11.6,35.1,11.3,2.6713207547169815,4.77203125,11.419939176078948,,Yes,Yes,Yes,,82431,90015688.23649433,57779234.47121622,242295.0434065934,1788.0,315096014.47525,3399482.6000285717,43000.0,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,100.0,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,52.1,47.84269841269842,54.79139928529412,13.236199999999998,17.371565905725806,44.35626678571428,47.9,38.025,
MEA,United Arab Emirates,67119.13281,39.0,4.0,3.0,10.0,25.0,19.0,2.6713207547169815,4.77203125,11.419939176078948,Yes,Yes,,Yes,,9770529,493106.0,2876313.0,134000.0,57525.0,3306644.0,4573.0,5617682.0,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,9.0,42.213099385581394,28.434393906458336,9.0,62.0,13.236199999999998,20.0,44.35626678571428,32.822129772340425,38.025,
LCN,Argentina,23550.09961,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,Yes,,Yes,Yes,,42981516,90015688.23649433,57779234.47121622,291700.0,310044.0,315096014.47525,3399482.6000285717,17910550.0,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,89.91,85.02063013700001,100.0,79.05111111111111,94.82,69.46555555555557,0.2,8.138041567499998,8.9,28.434393906458336,47.84269841269842,22.6,13.236199999999998,6.0,62.5,32.822129772340425,38.025,Other
ECS,Armenia,11019.83887,57.0,3.2,3.4,17.4,6.7,11.4,0.3,0.6,11.419939176078948,No,No,Yes,No,,2906220,1570.0,7820.0,14000.0,62270.0,47310540.0,3399482.6000285717,492800.0,100.0,38.385555555555555,10.0,31.75,100.0,60.02583333333333,73.49010869565218,85.02063013700001,100.0,79.05111111111111,90.0,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,100.0,13.236199999999998,17.371565905725806,44.35626678571428,32.822129772340425,38.025,Other
EAS,American Samoa,11113.44238,19.7,3.4,7.9,25.6,26.4,12.8,4.2,4.77203125,11.419939176078948,,Yes,,,,55599,90015688.23649433,57779234.47121622,242295.0434065934,6934516.75975678,315096014.47525,3399482.6000285717,18989.49,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,100.0,85.02063013700001,100.0,79.05111111111111,100.0,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,54.79139928529412,13.236199999999998,17.371565905725806,44.35626678571428,32.822129772340425,38.025,
LCN,Antigua and Barbuda,17965.50195,46.0,7.0,7.0,12.0,15.0,13.0,2.6713207547169815,4.77203125,11.419939176078948,No,Yes,Yes,No,No,96777,90015688.23649433,57779234.47121622,1100.0,6934516.75975678,315096014.47525,3399482.6000285717,30585.0,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,98.61,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,0.08,98.68,28.434393906458336,47.84269841269842,54.79139928529412,13.236199999999998,17.371565905725806,44.35626678571428,1.14,0.1,Disposal Site
EAS,Australia,47784.17969,48.44,3.81,19.38,3.46,17.3,7.61,2.6713207547169815,4.77203125,11.419939176078948,Yes,Yes,Yes,Yes,Yes,23789338,90015688.23649433,20000000.0,574000.0,7000000.0,31000000.0,3399482.6000285717,13345000.0,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,9.77,48.87,54.79139928529412,13.236199999999998,42.1,44.35626678571428,32.822129772340425,38.025,
ECS,Austria,56029.61328,31.4,7.0,4.4,18.5,19.7,11.1,2.6713207547169815,7.9,11.419939176078948,,Yes,Yes,No,,8877067,1887723.0,42423893.0,166174.0,1272288.0,315096014.47525,696748.0,5219715.5,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,97.77,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,31.24,42.213099385581394,37.9,2.98,54.79139928529412,13.236199999999998,25.66,44.35626678571428,2.22,38.025,
ECS,Azerbaijan,14853.91016,45.19,5.28,3.49,13.73,10.93,7.87,3.09,4.77203125,10.42,,Yes,Yes,No,,9649341,90015688.23649433,57779234.47121622,63000.0,296979.4,315096014.47525,3399482.6000285717,2930349.0,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,56.0,85.02063013700001,100.0,79.05111111111111,90.0,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,100.0,13.236199999999998,17.371565905725806,44.35626678571428,32.822129772340425,38.025,Various
SSF,Burundi,839.7785034,81.0,2.9,2.1,3.2,7.3,3.5,2.6713207547169815,4.77203125,11.419939176078948,,,,,,6741569,90015688.23649433,57779234.47121622,5000.0,6934516.75975678,315096014.47525,3399482.6000285717,1872016.0,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,54.79139928529412,13.236199999999998,17.371565905725806,44.35626678571428,32.822129772340425,38.025,
ECS,Belgium,51914.91406,14.18,3.1,1.91,40.14,18.38,13.94,2.6713207547169815,2.37,5.84,,Yes,Yes,No,,11484055,5635143.0,35824399.0,603575.0,2946195.0,315096014.47525,2397368.0,4765883.0,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,97.74,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,19.137,42.213099385581394,43.39,0.91,54.79139928529412,13.236199999999998,34.303,44.35626678571428,2.26,38.025,
SSF,Benin,2227.352295,52.1,1.6,1.6,34.3,3.1,7.3,2.6713207547169815,4.77203125,11.419939176078948,,,Yes,Yes,,5521763,90015688.23649433,57779234.47121622,8200.0,6934516.75975678,315096014.47525,1698.0,685936.01,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,54.79139928529412,13.236199999999998,25.0,44.35626678571428,75.0,38.025,
